node1	node2
MRE11A	GO:0006303
CDK6	GO:0009615
ERP44	GO:0005783
MRE11A	GO:0000784
CCL28	GO:0005615
CASP2	GO:0071260
CDK6	GO:0045786
NEK3	GO:0090043
STMN2	GO:0030426
CPPED1	GO:0004721
STMN2	GO:0031115
MAPK1	GO:0072686
MAPK1	GO:0005815
CCNT1	GO:0006468
CDK6	GO:0006468
NEK3	GO:0006468
CASP3	GO:0043066
CCNT1	GO:0016032
CXCR4	GO:0001666
NEK3	GO:0030010
CASP2	GO:2001235
LGMN	GO:0006508
MRE11A	GO:0008022
CCL28	GO:1903237
RHOV	GO:0005525
CASP3	GO:0001782
IFNGR1	GO:0019221
CDK6	GO:2000773
CASP3	GO:0046007
CDC25C	GO:0035335
MAPK1	GO:0070849
STMN2	GO:1990090
MRE11A	GO:0032508
CDC25C	GO:0050699
CPPED1	GO:0006470
STMN2	GO:0031175
CXCR4	GO:0050920
CASP2	GO:0005634
CASP3	GO:0005634
CCNT1	GO:0005634
CDC25C	GO:0005634
MAPK1	GO:0005634
NEK3	GO:0005634
CASP3	GO:0009411
CDK6	GO:0005813
NEK3	GO:0005813
CPPED1	GO:0046872
RHOV	GO:0046872
CASP3	GO:0004861
CXCR4	GO:0009986
ERP44	GO:0009986
CASP2	GO:0019904
CASP2	GO:0006977
CCNT1	GO:0007049
CDK6	GO:0007049
MAPK1	GO:0007049
