Transcripts	CT_1	CT_2	CT_3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_4469	0	22.87	3.62	0.96	15.26	0	0	22.98	1.15	30.79	31.09	27.66	0	0	0
transcript_447	4.28	8.34	3.58	1.07	6	3.38	2.77	0.36	3.3	2.83	0.95	0.49	0	0.09	0.1
transcript_4470	20.64	20.29	28.44	22.12	24.01	18.79	14.02	16.08	19.32	13.59	13.95	12.68	9.93	8.52	8.79
transcript_4471	6.81	6.35	10.54	6.1	6.69	5.96	5.29	5.75	7.26	5.64	6.86	4.92	4.32	5.28	5.14
transcript_4472	0.21	1.19	0.1	0.09	0.43	1.93	1.44	591.66	444.88	1.06	2.25	0.38	1.89	535.53	0.37
transcript_4473	2.32	3.05	3.72	1.92	4.19	3	3.88	4.64	3.39	5.09	3.91	2.56	2.72	3.4	4.51
transcript_4474	3.42	4.58	4.56	4.49	4.78	4.41	4.47	4.95	4.28	4.12	5.37	4.26	3.82	3.43	3.54
transcript_4475	23.56	48.85	34.86	14.88	12.78	14.16	5.52	5.04	4.52	6.04	2.75	3.85	0.57	0.91	1.17
transcript_4476	11.92	9.1	15.17	11.19	11.25	7.44	7.43	12.22	9.94	12.82	14.84	12.37	11.18	9.56	14.88
transcript_4477	10.63	12.7	11.77	9.58	15.5	11.7	16.45	11.89	10.87	8.18	13.6	8.79	1.73	0.98	1.04
transcript_4478	1.7	3.88	3.95	2.18	4.24	2.46	3.01	2.35	3.97	2.39	3.71	3.44	4.92	3.39	4.19
transcript_4479	16.81	22.15	28.06	25.93	25.74	25.13	19.23	24.09	19.59	25.54	22.72	18.56	25.15	18.42	27.91
transcript_448	36.29	9.52	4.23	6.31	5.69	7.43	7.14	6.02	8.07	12.41	15.41	14.5	14.85	4.97	13.13
transcript_4480	12.68	15.12	12.6	12.31	10.82	11.61	8.3	8.76	9.57	10.97	9.31	9.2	8.34	7.54	7.95
transcript_4481	72.56	66.4	91.18	83.34	72.72	61.26	79.02	80.42	80.69	73.9	72.41	73.04	81.08	82.81	99.8
transcript_4482	61.44	51.51	62.13	44.16	38.61	40.09	36.91	43.98	35.32	25.79	39.86	31.54	55.67	37.13	40.73
transcript_4483	8.76	7.64	9.71	15.92	10	11.08	9.74	6.85	15.46	9.83	8.16	13.11	3.56	1.59	3.62
transcript_4484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4485	0	0	21.24	0	0	47.45	38.08	0	78.13	135.03	163.84	151.34	0	0	268.55
transcript_4486	6.74	8.19	10.38	4.19	6.26	6.55	6.21	6.07	5.54	5.51	4.68	6.05	8.2	6.25	8.02
transcript_4487	0	0	798.73	0	0	287	0	0	0	931.94	295.33	719.38	454.29	0	238.65
transcript_4489	6.05	5.63	8.44	4.91	3.63	2.24	3.32	3.77	4.01	3.6	3.69	3.8	2.77	2.2	3.08
transcript_449	0	1.22	0	0	0.73	0	0.35	0	0	0	0	0	0	0	0.28
transcript_4490	2.01	2.81	2	2.07	2.88	2.18	1.87	2.53	2.09	2.72	2.98	1.92	1.96	1.04	1.51
transcript_4492	0.3	0.19	0.38	0.4	0.28	0.3	0.42	0.14	0.17	0.04	0.18	0.17	0.05	0.12	0.17
transcript_4493	13.33	15.78	18.21	13.04	15.43	11.99	15.97	16.64	20.57	8.32	2.02	14.4	37.81	22.34	33.23
transcript_4494	1.84	1.93	1.99	0.33	1.07	1.27	0	0	3.1	0.94	0	1.66	0	0.55	0.74
transcript_4495	22.15	80.61	10.81	68.39	33.21	19.87	32.48	29.39	177.52	301.39	57.41	15.66	30.91	13.95	32.92
transcript_4496	13.76	9.48	15.7	12.03	10.56	9.11	13.68	11.55	9.62	9.63	11.16	9.56	21	12.25	16.52
transcript_4497	7.95	21.53	10.41	91.18	75.55	169.69	262.54	243.61	128.94	200.77	335.97	213.76	722.88	618.25	521.12
transcript_4498	6.71	10	11.25	13.25	11.91	13.47	20.01	38.34	20	35.8	27.71	26.61	150.62	119.26	138.4
transcript_4499	28.05	22.72	31.32	49.75	41.49	35.68	34.07	54.2	48.29	58.15	41.95	56.41	28.51	35.15	48.24
transcript_45	126.67	182.16	138.32	133.23	159.28	99.8	198.19	162.54	180.15	136.81	133.1	161.29	165.71	108.35	172.69
transcript_450	44.12	53.12	40.31	42.26	29.43	38.84	27.27	20.05	23.39	32.11	13.87	21.54	10.66	8.71	12.47
transcript_4500	29.78	33.64	36.1	25.54	26.29	30.98	26.31	26.9	27.47	23.42	29.57	24.06	30.68	21.76	28.57
transcript_4501	18.72	35.17	24.06	23.16	37.71	37.07	48.98	33.1	43.06	37.61	34.19	62.18	31.07	25.24	32.56
transcript_4502	139.25	0.28	0.24	52.45	0.05	22.05	26.5	25.4	20.52	35.07	10.79	18.31	1.26	0.24	0.13
transcript_4503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4504	226	113.6	129.69	115.63	151.43	90.36	69.82	141.53	127.4	149.26	81.34	119.12	31.31	73.37	178.23
transcript_4505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4506	781.88	3.21	0.31	359.2	0.4	126.32	154.88	122.47	114.58	184.68	69.45	66.45	4.6	1.58	0.41
transcript_4507	12.94	17.48	29.27	11.2	27.45	19	28.71	38.11	18.54	14.24	23.9	20.7	27.11	18.12	28.98
transcript_4508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4509	19.25	19.27	20.1	19.1	22.52	17.16	13.72	17.84	12.93	14.66	15.08	17.54	13.11	10.53	16.06
transcript_4511	33.92	61.78	8.49	55.93	57.44	18.04	41.74	1.26	0	37.32	64.26	71.82	63.03	0	49.28
transcript_4512	10.78	7.44	11.48	6.14	7.1	7.96	6.28	9.96	6.72	5.47	7.03	7.03	9.75	6.62	6.3
transcript_4513	4.66	3.87	6.13	3.05	7.25	5.16	6.06	11.66	6.8	4.15	12.31	7.17	14.52	11.16	9.71
transcript_4514	9.45	26.41	9.86	24.59	35.89	35.06	27.78	30.81	39.48	23.85	0.09	0.24	28.59	39.86	0
transcript_4515	12.47	19.68	21.76	15.36	19.43	14.12	15.03	16.61	19	18.26	15.94	13.76	11.79	11.31	17.29
transcript_4516	31.85	29.58	51.57	29.79	38.82	35.39	47.47	36.05	30.23	33.87	36.34	24.95	48.22	34.2	42.1
transcript_4517	0	0.69	0	0.22	0	0.52	1.11	0.21	0.59	0.4	0.78	0.83	0.95	0.3	2.28
transcript_4518	0	0	0	0	0.22	0.95	0.22	0	0.46	0.41	0	0.46	0	0.18	0.36
transcript_4519	4.2	4.52	4.07	3.66	3.13	2.86	4.32	6.04	6.17	5.15	5.37	5.32	1.97	2.49	6.44
transcript_452	19.36	15.93	21.19	20.12	8.32	8.99	6.82	8.32	12.2	15.11	6.7	9.63	2.81	2.94	8.63
transcript_4520	0	0	0	0	0	0	0	0	0	49.78	42.59	59.77	0.02	0	0
transcript_4521	112.31	80.57	40.92	53.3	210.35	104.64	120.52	161.32	26.38	88.13	141.76	231.27	141.74	98.75	164.98
transcript_4522	0.05	0.1	0.05	0	0	0	0	0	0	0.13	0.08	0.05	0	0.21	0
